Date,Deaths ,X,Y,Pump,Street Name 
1832-01-01,33,-0.134204,51.512792,Broad street pump,Peter street
1832-01-01,6,-0.135435,51.514183,Berwick streetpump,Berwick street 
1832-01-01,6,-0.133764,51.513145,Wardour street pump ,Wardour street
1833-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1834-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1835-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1836-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1837-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1838-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1839-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1840-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1841-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1842-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1843-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1844-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1845-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1846-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1847-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1848-01-01,19,-0.135435,51.514183,Berwick street pump,Berwick Street 
1848-01-01,19,-0.137524,51.511488,Golden square pump,Golden square district 
1848-01-01,18,-0.135004,51.506843,Broad street pump,St. James square district
1848-01-01,4,-0.134403,51.512623,Broad street pump,Peter street
1848-01-01,2,-0.133491,51.511776,Broad street pump,Archer street
1848-01-01,2,-0.135991,51.512098,Broad street pump,Pulteney Place
1848-01-01,5,-0.134683,51.510093,Cambridge street pump,"The workhouse, Regent street"
1848-01-01,2,-0.1375,51.5115,Broad street pump,South Row
1848-01-01,2,-0.134257,51.511289,Rupert street pump,Little Windmill street
1848-01-01,6,-0.137216,51.505958,Broad street pump,Angel Court
1848-01-01,3,-0.132713,51.516,Broad street pump,German Street
1848-01-01,2,-0.13952,51.505117,Broad street pump,Little St.James street
1848-01-01,2,-0.134257,51.511289,Rupert street pump,Great Windmill street
1848-01-01,2,-0.136,51.511,Berwick street pump,Queens Head Court 
1849-01-01,0,-0.1362,51.513,Broad street pump,No registered Fatality
1850-01-01,1,-0.136153,51.512927,Broad street pump,Silver street
1850-01-01,1,-0.138783,51.513116,Carnaby street pump,Carnaby street
1850-01-01,1,-0.137697,51.513048,Broad street pump,Marshall street
1850-01-01,1,-0.132876,51.51625,Poland street pump,Oxford street 
1851-01-01,1,-0.132957,51.511374,Rupert street pump,Rupert street
1852-01-01,1,-0.137697,51.513048,Broad street pump,Marshall street
1853-01-01,1,-0.134257,51.511289,Broad street pump,Great Windmill street
1853-01-01,1,-0.149382,51.517259,Broad street pump,Bentinck street
1853-01-01,1,-0.136961,51.514481,Poland street pump,Poland street
1853-01-01,4,-0.134683,51.510093,Cambridge street pump,"The workhouse, Regent street"
1853-01-01,2,-0.138596,51.514467,Cambridge street pump,Marlborough court
1853-01-01,1,-0.1218902,51.5121151,Broad street pump,King street
1853-01-01,1,-0.138596,51.514467,Broad street pump,Great Marlborough street
1853-01-01,1,-0.147028,51.513876,Broad street pump,Blenheim street
1854-01-01,1,-0.133682,51.51298,Broad street pump,"The metropolis Area, Soho."
1854-01-08,0,-0.133682,51.51298,Broad street pump,"The metropolis Area, Soho."
1854-01-15,0,-0.133682,51.51298,Broad street pump,"The metropolis Area, Soho."
1854-01-22,2,-0.133682,51.51298,Broad street pump,"The metropolis Area, Soho."
1854-01-29,2,-0.133682,51.51298,Broad street pump,"The metropolis Area, Soho."
1854-02-05,2,-0.138596,51.514467,Broad street pump,Marlborough court
1854-02-12,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-02-19,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-02-26,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-03-05,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-03-12,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-03-19,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-03-26,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-04-02,1,-0.147028,51.513876,Broad street pump,Bleinheim street
1854-04-09,1,-0.147028,51.513876,Broad street pump,Blenheim street
1854-04-16,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-04-23,2,-0.136661,51.513216,Broad street pump,Broadwick street 
1854-04-30,1,-0.1381767,51.5136968,Broad street pump,Marshall street 
1854-05-07,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-05-14,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-05-21,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-05-28,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-06-04,1,-0.136661,51.513216,Broad street pump,Broadwick street 
1854-06-11,1,-0.136661,51.513216,Broad street pump,Broadwick street 
1854-06-18,1,-0.136661,51.513216,Broad street pump,Broadwick street 
1854-06-18,1,-0.136661,51.513216,Broad street pump,Broadwick street 
1854-06-25,0,-0.13952,51.505117,Broad street pump,No registered Fatality
